Latitude_Degrees,Longitude_Degrees,ClimSST,Temperature_Mean,Depth_m,Windspeed,SSTA,Distance_to_Plastic_km,Nearest_Plastic_Weight_kg,Percent_Bleaching
18.707,-87.706,262.15,300.88,12.5,4.0,0.42,171.92325007322452,283.94,64.0
18.681,-87.711,262.15,300.88,16.1,6.0,-0.25,174.84376815121934,283.94,64.0
17.767,-64.619,301.24,300.38,13.4,6.0,0.56,211.7274196652646,435.4,64.0
20.052,-87.466,299.66,300.78,6.3,5.0,0.16,28.725502922806164,283.94,64.3
19.934,-87.434,300.07,300.81,12.65,5.0,-0.04,35.19912701685265,283.94,64.3
18.675,-87.708,262.15,300.88,8.95,4.0,0.51,175.39322563674804,283.94,64.3
18.704,-87.702,262.15,300.88,14.8,4.0,1.31,172.12202374028053,283.94,64.3
18.634,-87.718,262.15,300.87,19.55,5.0,1.06,180.06404379502152,283.94,64.3
11.331,-60.555,300.06,300.32,12.0,6.0,-0.21,151.189380899436,376.86,64.3
24.991,-80.411,300.98,299.85,6.1,8.0,0.16,224.78653471593688,408.45,64.3
11.332,-60.555,300.06,300.32,7.0,6.0,-0.21,151.15117390464653,376.86,64.6
19.933,-87.432,302.09,300.81,15.85,4.0,0.36,35.163223384214135,283.94,64.7
18.704,-87.704,262.15,300.88,9.6,7.0,-1.51,172.18225231651314,283.94,64.7
18.704,-87.702,262.15,300.88,15.25,6.0,-0.34,172.12202374028053,283.94,64.7
-14.33,-170.5,301.68,301.39,8.5,4.0,0.36,91.11518917265151,427.03,65.0
-23.4439,151.9286,297.26,297.35,5.5,7.0,3.56,86.5534812411751,230.48,65.0
-18.75,146.25,262.15,299.31,5.0,5.0,0.81,142.12196464859898,343.7,65.0
17.538,-87.744,301.15,300.99,11.85,9.0,-1.59,128.041143450864,465.85,65.0
17.942,-76.819,300.89,301.06,5.0,9.0,0.41,144.28576886368637,322.61,65.0
25.459,-80.137,302.39,299.83,3.75,3.0,0.95,193.07368214094632,408.45,65.0
17.794,-64.583,301.18,300.38,13.7,6.0,0.28,216.00033059677398,435.4,65.1
18.718,-87.692,299.45,300.88,14.5,6.0,-0.34,170.33040363010002,283.94,65.2
18.681,-87.711,262.15,300.88,13.35,6.0,-0.25,174.84376815121934,283.94,65.4
17.734,-64.895,299.07,300.52,10.0,9.0,0.2,198.50472982705872,435.4,65.4
18.345,-64.986,262.15,300.38,10.0,4.0,1.48,182.27484680944673,366.17,65.5
25.445,-80.154,302.43,299.83,3.6,3.0,0.67,194.71850308935888,408.45,65.6
25.41,-80.129,301.01,299.91,4.65,8.0,0.0,192.11134404348772,408.45,65.6
13.122,-59.649,299.48,300.53,20.0,8.0,0.39,153.68236733318253,376.86,65.9
-4.7167,39.3667,300.67,300.23,3.15,5.0,0.67,135.02688712088982,271.47,66.0
18.341,-65.082,301.24,300.41,8.0,6.0,-0.44,176.5523103790468,366.17,66.0
25.408,-80.166,300.71,299.76,4.65,8.0,0.19,195.8240104057234,408.45,66.1
17.766,-64.618,301.24,300.38,10.7,6.0,0.56,211.66692403587572,435.4,66.1
17.792,-64.593,301.18,300.38,8.5,6.0,0.28,215.37134392739455,435.4,66.1
19.934,-87.4336,302.16,300.81,10.35,3.0,0.3,35.17402688795141,283.94,66.67
20.1004,-87.4638,302.04,300.78,5.8,4.0,-0.16,26.099783774649918,283.94,66.67
19.9729,-87.4528,262.15,300.81,18.6,4.0,0.6,33.18392383532244,283.94,66.67
20.0995,-87.4625,302.04,300.78,12.8,3.0,0.05,26.01100645503108,283.94,66.67
19.9333,-87.4321,300.9,300.81,18.15,3.0,0.9,35.14265569338038,283.94,66.67
20.0375,-87.4662,299.53,300.78,10.5,4.0,-0.18,29.61803280846223,283.94,66.67
20.0375,-87.4662,301.38,300.78,9.1,4.0,0.71,29.61803280846223,283.94,66.67
20.0514,-87.4628,301.86,300.78,15.25,4.0,0.03,28.47645423833702,283.94,66.67
20.04,-87.4697,301.38,300.78,3.0,4.0,0.1,29.767545001097332,283.94,66.67
19.8805,-87.412,301.35,300.83,19.8,4.0,0.94,38.951181431229685,283.94,66.67
19.9683,-87.4517,262.15,300.81,17.85,4.0,1.01,33.47389230887401,283.94,66.67
19.9683,-87.4517,262.15,300.81,17.85,5.0,-0.15,33.47389230887401,283.94,66.67
19.9321,-87.4342,300.2,300.81,6.55,5.0,-0.21,35.38076642098577,283.94,66.67
18.707,-87.7068,262.15,300.88,5.2,7.0,-1.32,171.947545341228,283.94,66.67
18.6672,-87.7173,262.15,300.88,6.0,6.0,-0.25,176.50413298474538,283.94,66.67
18.6806,-87.7113,262.15,300.88,14.2,6.0,-0.25,174.89543252149068,283.94,66.67
19.7869,-87.4331,300.0,300.85,12.2,6.0,0.76,49.22558409783425,283.94,66.67
23.743,-76.076,299.48,299.83,3.96,6.0,1.3,69.56592206718703,481.07,66.7
23.71,-76.076,299.48,299.83,3.12,6.0,1.3,67.14814052236032,481.07,66.7
23.71,-76.076,299.48,299.83,3.12,6.0,1.3,67.14814052236032,481.07,66.7
16.749,-87.786,301.08,301.12,7.0,9.0,-1.11,69.22200667736085,465.85,66.7
20.051,-87.463,301.86,300.78,15.25,4.0,0.03,28.517754112295577,283.94,66.7
